idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
1483,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1484,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1485,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1486,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1487,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1488,7.980099502487562,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1489,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1490,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1491,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1492,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1493,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1494,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1495,8.0,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1496,8.0,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1497,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1498,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1499,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1500,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1501,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1502,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1503,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1504,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1505,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1506,8.065,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1507,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1508,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1509,8.009950248756219,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1510,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1511,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1512,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1513,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1514,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1515,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1516,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1517,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1518,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1519,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1520,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1521,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1522,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1523,8.00497512437811,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1524,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1525,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1526,8.0,1000000.0,8.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1527,8.0,1000000.0,8.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1528,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1529,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1530,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1531,8.135,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1532,10.814070351758794,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1533,11.0,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1534,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1535,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1536,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1537,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1538,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1539,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1540,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1541,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1542,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1543,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1544,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1545,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1546,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1547,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1548,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1549,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1550,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1551,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1552,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1553,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1554,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1555,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1556,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1557,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1558,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1559,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1560,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1561,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1562,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1563,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1564,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1565,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1566,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1567,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1568,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1569,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1570,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1571,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1572,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1573,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1574,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1575,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1576,10.99004975124378,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1577,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1578,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1579,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1580,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1581,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1582,10.355,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1583,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1584,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1585,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1586,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1587,10.72,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1588,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1589,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1590,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1591,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1592,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1593,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1594,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1595,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1596,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1597,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1598,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1599,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1600,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1601,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1602,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1603,10.66,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1604,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1605,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1606,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1607,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1608,9.14,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1609,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1610,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1611,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1612,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1613,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1614,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1615,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1616,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1617,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1618,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1619,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1620,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1621,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1622,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1623,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1624,8.975124378109452,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1625,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1626,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1627,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1628,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1629,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1630,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1631,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1632,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1633,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1634,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1635,8.985074626865671,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1636,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1637,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1638,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1639,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1640,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1641,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1642,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1643,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1644,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1645,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1646,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1647,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1648,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1649,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1650,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1651,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1652,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1653,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1654,9.045,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1655,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1656,10.0,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1657,10.0,1000000.0,10.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1658,9.487562189054726,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1659,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1660,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1661,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1662,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1663,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1664,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1665,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1666,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1667,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1668,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1669,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1670,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1671,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1672,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1673,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1674,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1675,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1676,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1677,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1678,8.00497512437811,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1679,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1680,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1681,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1682,8.00497512437811,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1683,8.065,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1684,9.01,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1685,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1686,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1687,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1688,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1689,8.980099502487562,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1690,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1691,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1692,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1693,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1694,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1695,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1696,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1697,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1698,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1699,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1700,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1701,8.980099502487562,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1702,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1703,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1704,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1705,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1706,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1707,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1708,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1709,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1710,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1711,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1712,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1713,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1714,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1715,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1716,9.0,1000000.0,9.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1717,9.0,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1718,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1719,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1720,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1721,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1722,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1723,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1724,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1725,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1726,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1727,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1728,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1729,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1730,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1731,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1732,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1733,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1734,8.785,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1735,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1736,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1737,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1738,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1739,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1740,8.0,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1741,8.009950248756219,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1742,8.29,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1743,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1744,9.14,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1745,9.065,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1746,9.015,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1747,9.065,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1748,10.395,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1749,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1750,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1751,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1752,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1753,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1754,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1755,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1756,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1757,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1758,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1759,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1760,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1761,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1762,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1763,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1764,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1765,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1766,10.970149253731345,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1767,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1768,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1769,11.0,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1770,11.0,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,1.0
1771,11.0,1000000.0,11.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1772,11.0,1000000.0,11.0,1.0,199.0,0.0,199000000.0,1.0,1.0
1773,11.0,1000000.0,11.0,1.0,201.0,0.0,201000000.0,1.0,1.0
